dataset,example_id,oracle_channel,oracle_recall,best_heldout_fixed_channel,best_heldout_fixed_recall,validation_selected_channel,validation_selected_recall,selection_headroom,validation_instability
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,exact,0.02666666666666667,exact,0.02666666666666667,exact,0.02666666666666667,0.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,exact,0.14285714285714285,exact,0.14285714285714285,exact,0.14285714285714285,0.0,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,exact,0.25,exact,0.25,exact,0.25,0.0,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,gist,0.0,exact,0.0,exact,0.0,0.0,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,exact,0.25,exact,0.25,exact,0.25,0.0,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,exact,0.2,exact,0.2,exact,0.2,0.0,0.0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,gist,0.25,gist,0.25,bm25,0.0,0.0,0.25
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,exact,0.25,gist,0.0,bm25,0.25,0.25,-0.25
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,exact,0.25,gist,0.0,bm25,0.25,0.25,-0.25
2wikimultihopqa,002f12240bde11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,bm25,0.2,gist,0.0,bm25,0.2,0.2,-0.2
2wikimultihopqa,003285a80bde11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,gist,0.3333333333333333,gist,0.3333333333333333,bm25,0.0,0.0,0.3333333333333333
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,008b58060baf11ebab90acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,gist,0.5,gist,0.5,bm25,0.25,0.0,0.25
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,bm25,0.25,gist,0.0,bm25,0.25,0.25,-0.25
2wikimultihopqa,00fc38720bb011ebab90acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,gist,0.25,gist,0.25,bm25,0.0,0.0,0.25
2wikimultihopqa,01057cde0bb011ebab90acde48001122,gist,0.5,gist,0.5,bm25,0.0,0.0,0.5
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,024761e80bb011ebab90acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,0360770a0baf11ebab90acde48001122,exact,0.3333333333333333,gist,0.0,bm25,0.0,0.3333333333333333,0.0
2wikimultihopqa,036c82480baf11ebab90acde48001122,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,gist,0.0,gist,0.0,bm25,0.0,0.0,0.0
musique,2hop__10114_599630,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,2hop__103889_86452,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,2hop__104095_40501,exact,0.2,approx,0.2,exact,0.2,0.0,0.0
musique,2hop__104095_40502,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,2hop__10620_49084,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,2hop__107238_64918,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,3hop1__102087_214799_259594,exact,0.5,approx,0.5,exact,0.5,0.0,0.0
musique,3hop1__103197_214799_259594,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,3hop1__103254_214799_259594,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,3hop2__101809_30152_20999,exact,0.14285714285714285,approx,0.14285714285714285,exact,0.14285714285714285,0.0,0.0
musique,3hop2__106842_30645_84681,bm25,0.058823529411764705,approx,0.0,exact,0.0,0.058823529411764705,0.0
musique,3hop2__11282_57233_56883,hybrid,0.16666666666666666,approx,0.0,exact,0.0,0.16666666666666666,0.0
musique,4hop1__105401_17130_70784_61381,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,4hop1__105688_17130_70784_61381,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,4hop1__105688_17130_70784_79935,exact,0.6666666666666666,approx,0.6666666666666666,exact,0.6666666666666666,0.0,0.0
musique,4hop2__103790_14670_8987_8974,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,4hop2__103790_39078_8987_8529,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
musique,4hop2__105527_14670_8987_8529,gist,0.0,approx,0.0,exact,0.0,0.0,0.0
