auc_0_30,cohort,dataset,endpoint_complete,examples,f70,f80,f90,f95,kv_fraction_exact,mechanism,r_at_10pct,r_at_20pct,r_at_30pct,r_at_5pct,recall_at_1,recall_at_16,recall_at_3,recall_at_8
0.6729166666666666,centered-rope-stage1-16,hotpotqa,True,8,0.157516238677591,0.20793118173942704,0.5058530960503892,0.5058530960503892,False,Centered-RoPE segment mean G=8,0.625,0.875,0.875,0.5,0.125,0.875,0.5,0.625
0.1875,centered-rope-stage1-16,qasper,True,8,0.5011576810074581,0.5011576810074581,1.0,1.0,False,Centered-RoPE segment mean G=8,0.125,0.25,0.5,0.0,0.0,0.125,0.0,0.0
0.43020833333333336,centered-rope-stage1-16,combined,True,16,0.5035053885289237,0.5035053885289237,0.5035053885289237,1.0,False,Centered-RoPE segment mean G=8,0.375,0.5625,0.6875,0.25,0.0625,0.5,0.25,0.3125
0.6885416666666666,segment-confirmation-64,hotpotqa,True,16,0.15771751885740554,0.20757105886662888,0.30775781093404114,0.5050972939459405,False,Hidden-state segment mean G=2,0.6875,0.8125,0.9375,0.4375,0.3125,0.9375,0.5,0.75
0.528125,segment-confirmation-64,qasper,True,16,0.25222980514447835,0.25222980514447835,1.0,1.0,False,Hidden-state segment mean G=2,0.4375,0.625,0.8125,0.25,0.0625,0.5625,0.125,0.3125
0.6083333333333334,segment-confirmation-64,combined,True,32,0.20550265609264584,0.2547751782489024,0.5032014970341919,1.0,False,Hidden-state segment mean G=2,0.5625,0.71875,0.875,0.34375,0.1875,0.75,0.3125,0.53125
0.6114583333333333,segment-confirmation-64,hotpotqa,True,16,0.20757105886662888,0.25732055135332643,0.30775781093404114,0.5050972939459405,False,Hidden-state segment mean G=4,0.5,0.75,0.9375,0.375,0.25,0.9375,0.4375,0.6875
0.5208333333333333,segment-confirmation-64,qasper,True,16,0.2034342533186628,0.2034342533186628,0.5013057001224435,0.5013057001224435,False,Hidden-state segment mean G=4,0.25,0.8125,0.875,0.1875,0.0,0.4375,0.0625,0.25
0.5661458333333333,segment-confirmation-64,combined,True,32,0.20550265609264584,0.2547751782489024,0.30594284089500695,0.5032014970341919,False,Hidden-state segment mean G=4,0.375,0.78125,0.90625,0.28125,0.125,0.6875,0.25,0.46875
0.7010416666666668,segment-confirmation-64,hotpotqa,True,16,0.15771751885740554,0.15771751885740554,0.30775781093404114,0.5050972939459405,False,Hidden-state segment mean G=8,0.6875,0.875,0.9375,0.4375,0.1875,0.9375,0.5,0.875
0.6677083333333332,segment-confirmation-64,qasper,True,16,0.15437864751663644,0.25222980514447835,0.25222980514447835,0.5013057001224435,False,Hidden-state segment mean G=8,0.6875,0.75,0.9375,0.4375,0.0,0.75,0.125,0.4375
0.684375,segment-confirmation-64,combined,True,32,0.156048083187021,0.20550265609264584,0.2547751782489024,0.5032014970341919,False,Hidden-state segment mean G=8,0.6875,0.8125,0.9375,0.4375,0.09375,0.84375,0.3125,0.65625
0.6854166666666666,token-diagnostic-16,hotpotqa,True,8,0.157516238677591,0.3080271399552582,0.5058530960503892,0.5058530960503892,False,Hidden-state token maximum,0.625,0.75,0.875,0.625,0.25,0.875,0.625,0.75
0.7541666666666668,token-diagnostic-16,qasper,True,8,0.15321886489322675,0.15321886489322675,0.15321886489322675,0.15321886489322675,False,Hidden-state token maximum,0.5,1.0,1.0,0.5,0.0,0.75,0.125,0.5
0.7197916666666667,token-diagnostic-16,combined,True,16,0.15536755178540887,0.15536755178540887,0.3060024816984761,0.5035053885289237,False,Hidden-state token maximum,0.5625,0.875,0.9375,0.5625,0.125,0.8125,0.375,0.625
0.8500000000000001,query-confirmation-32,hotpotqa,True,16,0.10586188000599997,0.10586188000599997,0.16049869678944692,0.20721747802706522,False,Last-state query,0.8125,1.0,1.0,0.6875,0.4375,1.0,0.8125,0.9375
0.5989583333333334,query-confirmation-32,qasper,True,16,0.20388376024647936,0.30411679955939747,0.5013678344444719,0.5013678344444719,False,Last-state query,0.625,0.75,0.8125,0.375,0.125,0.6875,0.125,0.5
0.7244791666666667,query-confirmation-32,combined,True,32,0.10475949143098322,0.15773540318371077,0.3063652300115562,0.5035634403611889,False,Last-state query,0.71875,0.875,0.90625,0.53125,0.28125,0.84375,0.46875,0.71875
0.7854166666666667,query-confirmation-32,hotpotqa,True,16,0.16049869678944692,0.16049869678944692,0.16049869678944692,0.2561565258979826,False,Uniform query W=32,0.625,0.9375,1.0,0.5625,0.4375,0.9375,0.5625,0.8125
0.6239583333333334,query-confirmation-32,qasper,True,16,0.20388376024647936,0.20388376024647936,0.2522998851307885,1.0,False,Uniform query W=32,0.625,0.875,0.9375,0.1875,0.0625,0.6875,0.0625,0.125
0.7046875,query-confirmation-32,combined,True,32,0.15773540318371077,0.20555061913677228,0.20555061913677228,0.2542282055143855,False,Uniform query W=32,0.625,0.90625,0.96875,0.375,0.25,0.8125,0.3125,0.46875
0.7583333333333333,query-confirmation-32,hotpotqa,True,16,0.16049869678944692,0.16049869678944692,0.16049869678944692,0.16049869678944692,False,Question decay H=2,0.6875,1.0,1.0,0.3125,0.1875,1.0,0.3125,1.0
0.6666666666666666,query-confirmation-32,qasper,True,16,0.10365710285596645,0.2522998851307885,0.5013678344444719,0.5013678344444719,False,Question decay H=2,0.75,0.75,0.875,0.4375,0.0625,0.625,0.1875,0.375
0.7125,query-confirmation-32,combined,True,32,0.10475949143098322,0.15773540318371077,0.2542282055143855,0.5035634403611889,False,Question decay H=2,0.71875,0.875,0.9375,0.375,0.125,0.8125,0.25,0.6875
0.7525000000000001,learned-test-32x5-seeds,hotpotqa,True,80,0.10586188000599997,0.1604986967894469,0.2072174780270652,0.2561565258979826,False,Learned margin adapter,0.7,0.925,1.0,0.4875,0.25,0.975,0.5875,0.7875
0.9175,learned-test-32x5-seeds,qasper,True,80,0.024280815752808303,0.05438395662869285,0.10365710285596645,0.10365710285596645,False,Learned margin adapter,0.9625,0.9875,1.0,0.8625,0.3875,0.95,0.675,0.825
0.8349999999999999,learned-test-32x5-seeds,combined,True,160,0.10475949143098322,0.10475949143098322,0.15773540318371077,0.20555061913677228,False,Learned margin adapter,0.83125,0.95625,1.0,0.675,0.31875,0.9625,0.63125,0.80625
