model,base_model,dataset,metric,generic,learned,delta,test_examples,selected_seed,adapter_parameters
Qwen3-14B,mlx-community/Qwen3-14B-4bit,hotpotqa,MRR,0.602604,0.395067,-0.207537,16,23,1310720
Qwen3-14B,mlx-community/Qwen3-14B-4bit,hotpotqa,AUC0-30,0.388646,0.240751,-0.147894,16,23,1310720
Qwen3-14B,mlx-community/Qwen3-14B-4bit,combined,R@20%,0.406215,0.496581,0.090366,32,23,1310720
Qwen3-14B,mlx-community/Qwen3-14B-4bit,combined,MRR,0.401119,0.64525,0.244131,32,23,1310720
Qwen3-14B,mlx-community/Qwen3-14B-4bit,combined,AUC0-30,0.31683,0.419022,0.102192,32,23,1310720
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,qasper,R@20%,0.318246,0.468322,0.150076,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,qasper,MRR,0.183163,0.696593,0.51343,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,qasper,AUC0-30,0.219545,0.430858,0.211313,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,hotpotqa,R@20%,0.615848,0.420536,-0.195313,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,hotpotqa,MRR,0.624085,0.376515,-0.247569,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,hotpotqa,AUC0-30,0.485647,0.311566,-0.174081,16,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,combined,R@20%,0.467047,0.444429,-0.022618,32,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,combined,MRR,0.403624,0.536554,0.13293,32,37,1048576
Llama-3.1-8B,mlx-community/Llama-3.1-8B-Instruct-4bit,combined,AUC0-30,0.352596,0.371212,0.018616,32,37,1048576
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,qasper,R@20%,0.225906,0.453886,0.22798,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,qasper,MRR,0.245932,0.449874,0.203942,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,qasper,AUC0-30,0.188285,0.392605,0.20432,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,hotpotqa,R@20%,0.336458,0.318006,-0.018452,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,hotpotqa,MRR,0.385305,0.537874,0.152569,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,hotpotqa,AUC0-30,0.244296,0.246895,0.002599,16,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,combined,R@20%,0.281182,0.385946,0.104764,32,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,combined,MRR,0.315618,0.493874,0.178256,32,71,294912
Gemma-3-1B,mlx-community/gemma-3-1b-it-4bit,combined,AUC0-30,0.21629,0.31975,0.10346,32,71,294912
